search_date,origin,destination,airline,price,stops,departure_date,route
2026-03-12,BOS,MIA,Spirit,121,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,209,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,289,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,299,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,359,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,309,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,369,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,369,0,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,379,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,385,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,434,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,559,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,552,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,487,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,492,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,509,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,527,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,554,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,573,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,591,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,620,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,Delta,629,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,662,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,683,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,696,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,731,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,757,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,770,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,775,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,782,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,792,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,810,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,850,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,857,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,885,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,900,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,930,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,973,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,1021,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,1042,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,United,1067,1,2026-03-26,BOS-MIA
2026-03-12,BOS,MIA,American,1189,1,2026-03-26,BOS-MIA
